FEATURE ANALYSIS
=====================================================================================================================================================================================================================================================
Section 1 = Individual (duplicated)   |   Section 2 = Accumulated w/ descendants (duplicated)   ||   Section 3 = Deduplicated (each physical source line counted once)
=====================================================================================================================================================================================================================================================

                                                             --- Individual (dup) ---                  |                --- Accumulated (dup) ---                ||       -- Dedup Individual --         |       -- Dedup Accumulated --      
Feature                                           LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang  |     LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang ||     LOC    LLOC    LOC%   LLOC%  |     LOC    LLOC    LOC%   LLOC%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Security_Features                                   0       0    0.00    0.00       0       0     0.00  |    4737    4003    4.46    5.43     139     139     1.43 ||       0       0    0.00    0.00  |    3824    3150    3.60    4.27
-Access_Control                                     0       0    0.00    0.00       0       0     0.00  |    2812    2359    2.65    3.20      59      59     1.48 ||       0       0    0.00    0.00  |    2365    1935    2.23    2.63
--Authentication                                    0       0    0.00    0.00       0       0     0.00  |    1235     980    1.16    1.33      26      26     1.48 ||       0       0    0.00    0.00  |    1058     816    1.00    1.11
---Authentication_Header                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Response_Code                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authentication_Status_Code                      0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Login                                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Logout                                           0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---SASL                                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---JAAS_Configuration                               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Authentication_Scheme                            1       1    0.00    0.00       1       1     1.00  |       8       8    0.01    0.01       3       3     1.50 ||       1       1    0.00    0.00  |       8       8    0.01    0.01
----Basic_Authentication                            7       7    0.01    0.01       2       2     1.57  |       7       7    0.01    0.01       2       2     1.57 ||       7       7    0.01    0.01  |       7       7    0.01    0.01
---Authentication_Filter                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---User_Authentication                             49      32    0.05    0.04       2       2     1.90  |     111      88    0.10    0.12       6       6     1.75 ||      49      32    0.05    0.04  |     111      88    0.10    0.12
----Auth_Type                                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Token_Management                               62      56    0.06    0.08       4       4     1.63  |      62      56    0.06    0.08       4       4     1.63 ||      62      56    0.06    0.08  |      62      56    0.06    0.08
----Password_Based_Authentication                   0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Authentication_Check                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Identity_Check                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----User_Authentication_Token                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Account_Authentication                          0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
