Feature	Lines of Feature Code
User_Authentication	42
Timed_Access_Control	0
AES_Decryption	22
ECDSA_Signature_Signing	16
User_Login	193
Asymmetric_Key_Cryptography	106
Ldap_Authentication	284
Encryption	0
Password_Definition	63
Sha1_Hashing	92
Message_Signing	0
Log_Rotation	12
Mail_Authentication	15
Checksum	275
System_State_Validation	0
State_based_Access_Control	0
Permission	0
Session_Invalidation	11
Cryptography	0
Session_Management	0
Input_Validation	0
Certificate_Authentication	0
Bearer_Authentication	4
Permission_Logging	6
Source_of_Randomness	0
Data_Validation	0
TOTP_Authentication	46
Trusted_Sources	0
Download_Verification	0
Secure_Random	2
Password_Update	25
Whitelisting	0
Time_Source	0
Digital_Watermarking	0
Blacklisting	0
Secure_Storage	5
MQTT_Authentication	16
Authorization	0
Location_based_Access_Control	0
SMS_Authentication	15
PKCS8_Key_Generation	4
Cookie_Http_only	1
Access_Logging	41
Hybrid_Cryptosystems	0
Permission_Management	52
System_State_Protection	0
Cookie_Same_Site	28
One_Time_Password	0
OpenID_Authentication	221
Permission_Assignment	89
Throttling_Filter	45
Session_Persistence	0
User_Session	166
Symmetric_Key_Cryptography	0
Key_Management	0
Cryptographic_Hashing	0
Security_Request_Filter	83
Automated_Response	0
Server_Time	26
Token_Validation	14
Input_Sanitization	0
Permission_Check	335
Read_Write_Lock	1
Secure_Communication	67
Output_Validation	0
Authentication	0
Authentication_Scheme	1
TOTP_Key_Generation	11
Credentials	0
Permission_Definition	475
Lattice_based_Access_Control	0
Memory_Storage	170
Invalidate_Object	123
Session_Takeover_Prevention	0
Discretionary_Access_Control	0
Token_Expiration	87
Session_Fixation_Protection	0
Key_Storage	32
Database_Storage	372
Admin_Login	19
Application_Mode_based_Access_Control	0
Security_Monitoring	0
State_Synchronization	0
Network_Session	6
Key_Revocation	0
Role_Assignment	3
Mandatory_Access_Control	0
Logging	0
Authorization_Header	76
Role_based_Access_Control	0
Message_Authentication	0
Access_Control	0
Basic_Authentication	11
Token_Management	12
Authentication_Logging	9
Session_Timeout	21
Multifactor_Authentication	0
Certification	0
AES	1
Group_Key_Management	0
Secure_Data_Handling	0
Steganography	0
Authenticate_with_Device	15
Key_Generation	29
Role_Definition	28
Attribute_based_Access_Control	0
Token_Authentication	24
Permission_Change_Logging	7
Password_Validation	28
Retention_Control	0
Authorization_Scheme	0
Log_Limit	34
ECDSA_Signature_Verification	17
Parameterized_Prepared_Statement	8
PBKDF2_Key_Generation	1
Replay_Attack_Prevention	0
Password	34
X509_Key_Generation	4
Action_Logging	122
User_Logout	8
Sha256_Hashing	1
Access_Quota_Limitation	0
Data_Sanitization	0
Stream_Ciphers	0
History_Maintenance	0
Block_Ciphers	0
Rule_based_Access_Control	0
User_Check	12
Permission_Type_Validation	1
Key_Distribution	0
Single_Sign_On	0
Output_Sanitization	0
Permission_Invalidation	226
Imei_Validation	19
Signature	0
Resource_Management	0
Password_Reset	19
User_Based_Request_Authorization	11
Role_Check	41
Token_Generation	33
Salting	28
